NombreColumna;Obligatorio
op_operacion;S
op_banco;S
op_anterior;N
op_migrada;N
op_cliente;S
op_nombre;S
op_sector;S
op_toperacion;S
op_oficina;S
op_moneda;S
op_comentario;N
op_oficial;S
op_fecha_ini;S
op_fecha_fin;S
op_fecha_ult_proceso;S
op_fecha_liq;S
op_fecha_reajuste;N
op_monto;S
op_monto_aprobado;S
op_destino;S
op_lin_credito;N
op_ciudad;S
op_estado;S
op_periodo_reajuste;S
op_reajuste_especial;S
op_tipo;S
op_forma_pago;N
op_dias_anio;S
op_tipo_amortizacion;S
op_cuota_completa;S
op_tipo_cobro;S
op_tipo_reduccion;S
op_aceptar_anticipos;N
op_precancelacion;N
op_tipo_aplicacion;S
op_tplazo;S
op_plazo;S
op_tdividendo;S
op_periodo_cap;S
op_periodo_int;S
op_dist_gracia;N
op_gracia_cap;N
op_gracia_int;N
op_dia_fijo;N
op_cuota;S
op_evitar_feriados;N
op_num_renovacion;N
op_renovacion;N
op_mes_gracia;N
op_reajustable;N
op_dias_clausula;N
op_divcap_original;N
op_clausula_aplicada;N
op_traslado_ingresos;N
op_periodo_crecimiento;N
op_tasa_crecimiento;N
op_direccion;N
op_opcion_cap;N
op_tasa_cap;N
op_dividendo_cap;N
op_clase;S
op_origen_fondos;S
op_calificacion;N
op_estado_cobranza;N
op_numero_reest;S
op_edad;N
op_tipo_crecimiento;N
op_base_calculo;S
op_prd_cobis;S
op_ref_exterior;N
op_sujeta_nego;N
op_dia_habil;N
op_recalcular_plazo;N
op_usar_tequivalente;N
op_fondos_propios;S
op_nro_red;N
op_tipo_redondeo;N
op_sal_pro_pon;N
op_tipo_empresa;S
op_validacion;N
op_fecha_pri_cuot;N
op_gar_admisible;N
op_causacion;N
op_convierte_tasa;N
op_reestructuracion;N
op_fecha_ult_causacion;N
op_fecha_prox_segven;N
op_suspendio;N
op_fecha_suspenso;N
op_honorarios_cobranza;N
op_banca;N
op_promocion;N
op_acepta_ren;N
op_emprendimiento;N
op_valor_cat;N
op_grupo;N
op_ref_grupal;N
op_grupal;N
op_fondeador;N
op_admin_individual;N
op_estado_hijas;N
op_tipo_renovacion                 ;N
op_tipo_reest;N
op_fecha_reest                     ;N
op_fecha_reest_noestandar          ;N
op_beneficio_feci;S
op_beneficio_tinteres;S
op_base_tasa_desc;S
op_tir;S
op_cuota_ballom;S
op_div_dist_gracia  ;N
op_beneficio_empleado;S
op_fecha_ult_pago;N
op_fecha_ult_pago_cap;N
op_fecha_ult_pago_int;N
op_monto_ult_pago;N
op_monto_ult_pago_cap;N
op_monto_ult_pago_int;N
op_compra_id_externo;N
op_compra_activa;N
op_compra_valor;N
op_compra_devengando;N
op_vta_comprador;N
op_vta_fecha;N
op_vta_fecha_recompra;N
op_fecha_corte;N
